"y";"x1";"x2";"i";"cluster"
0;-1,343;1,077;3;"3"
0;-1,635;1,411;3;"3"
0;1,629;0,809;3;"3"
0;0,179;-1,174;3;"3"
0;0,2;1,876;3;"3"
0;0,508;0,801;3;"3"
0;-0,978;-0,152;3;"3"
0;-1,163;0,522;3;"3"
0;0,343;-0,574;3;"3"
0;0,612;-1,602;3;"3"
0;0,686;0,854;3;"3"
0;-0,562;-1,419;3;"3"
0;0,624;-0,265;3;"3"
0;-2,12;0,789;3;"3"
0;-0,802;-0,988;3;"3"
0;-0,766;0,044;3;"3"
0;0,451;-0,731;3;"3"
0;0,343;0,312;3;"3"
0;0,039;2,081;3;"3"
0;-1,498;1,409;3;"3"
0;0,592;-1,402;3;"3"
0;-0,605;0,129;3;"3"
0;0,283;-0,646;3;"3"
0;-0,234;0,303;3;"3"
0;-0,306;-0,296;3;"3"
0;0,006;-0,606;3;"3"
0;0,364;0,759;3;"3"
0;0,103;0,093;3;"3"
0;-0,022;1,471;3;"3"
1;-0,178;-0,906;3;"3"
0;-0,144;-1,316;3;"3"
0;-0,392;0,314;3;"3"
1;0,995;1,845;3;"3"
0;-0,827;0,719;3;"3"
0;0,812;-0,171;3;"3"
0;0,104;2,649;3;"3"
0;-0,992;1,157;3;"3"
0;1,18;0,2;3;"3"
0;0,52;-0,876;3;"3"
0;0,93;0,329;3;"3"
0;-0,12;0,02;4;"4"
0;1,022;-0,095;4;"4"
0;1,206;-1,131;4;"4"
0;0,695;0,143;4;"4"
0;1,743;-0,587;4;"4"
0;-3,529;-0,582;4;"4"
0;-0,581;-1,502;4;"4"
0;-0,251;0,187;4;"4"
0;-1,467;1,323;4;"4"
0;0,778;0,083;4;"4"
0;0,256;-0,178;4;"4"
1;-0,231;0,06;4;"4"
0;-1,006;0,179;4;"4"
0;-1,27;-0,323;4;"4"
0;-0,122;-0,295;4;"4"
0;0,444;-1,022;4;"4"
0;1,375;2,575;4;"4"
0;-0,018;0,012;4;"4"
0;0,797;-0,465;4;"4"
0;-0,56;-2,467;4;"4"
0;-0,209;-0,58;4;"4"
0;0,202;0,38;4;"4"
0;-0,84;1,513;4;"4"
0;-0,184;-0,086;4;"4"
1;0,276;-0,611;4;"4"
0;0,516;0,212;4;"4"
0;0,719;-0,497;4;"4"
0;-0,404;-0,888;4;"4"
0;0,251;0,035;4;"4"
0;1,035;-0,51;4;"4"
0;1,188;-1,559;4;"4"
0;-1,085;0,528;4;"4"
0;-0,311;0,625;4;"4"
0;0,637;-0,285;4;"4"
0;-0,564;-0,611;4;"4"
0;-0,068;-0,438;4;"4"
0;0,169;0,045;4;"4"
0;0,181;0,343;4;"4"
0;0,316;0,068;4;"4"
0;0,259;0,555;4;"4"
0;1,303;0,154;4;"4"
0;-0,074;0,135;4;"4"
0;-0,722;0,545;4;"4"
0;-0,212;-0,673;4;"4"
0;-1,367;1,695;4;"4"
0;-1,211;0,533;4;"4"
0;0,488;-0,238;4;"4"
0;1,167;0,198;4;"4"
0;-1,736;0,206;4;"4"
1;-0,225;-0,194;4;"4"
0;-0,362;1,63;4;"4"
0;-0,085;0,379;4;"4"
0;-0,796;-0,971;4;"4"
0;-0,135;-0,141;4;"4"
0;0,113;-1,21;4;"4"
0;0,155;1,104;4;"4"
0;-0,217;-0,818;5;"5"
1;0,039;0,606;5;"5"
0;-0,787;-1,61;5;"5"
1;-1,05;0,984;5;"5"
1;-1,791;-1,626;5;"5"
0;-0,407;0,174;5;"5"
1;0,753;-0,617;5;"5"
0;-2,385;1,298;5;"5"
1;0,429;-1,62;5;"5"
0;0,647;-2,209;5;"5"
0;1,293;-0,284;5;"5"
1;-2,624;-1,975;5;"5"
0;1,12;0,409;5;"5"
1;-2,311;-0,283;5;"5"
1;1,687;1,654;5;"5"
1;1,219;0,324;5;"5"
1;0,568;0,712;5;"5"
1;-0,874;1,902;5;"5"
0;0,391;-0,234;5;"5"
0;0,316;-1,082;5;"5"
1;-1,074;-1,771;5;"5"
1;-0,612;-1,461;5;"5"
0;0,474;0,299;5;"5"
1;0,654;0,483;5;"5"
1;-0,156;0,067;5;"5"
1;-0,811;0,577;5;"5"
0;-1,116;-0,584;5;"5"
1;-1,719;-0,015;5;"5"
1;-0,406;-0,37;5;"5"
1;1,476;0,049;5;"5"
1;1,48;0,632;5;"5"
0;0,155;-1,189;5;"5"
1;0,984;-0,314;5;"5"
1;-0,662;1,457;5;"5"
1;-0,034;1,607;5;"5"
1;-0,996;-0,066;5;"5"
1;-0,461;0,506;5;"5"
1;0,466;0,635;5;"5"
1;0,787;0,615;5;"5"
1;-1,062;0,641;5;"5"
0;1,307;-0,942;5;"5"
1;1,271;-0,336;5;"5"
1;-1,026;-1,75;5;"5"
1;-0,334;0,653;5;"5"
1;1,956;0,426;5;"5"
0;1,263;-1,962;5;"5"
1;0,425;-1,749;5;"5"
0;0,688;-0,306;5;"5"
1;0,152;-0,682;5;"5"
1;-1,509;0,09;5;"5"
1;-0,067;2,225;5;"5"
1;0,523;-0,771;5;"5"
0;-0,399;-2,407;5;"5"
1;0,01;0,326;5;"5"
0;-0,768;-1,21;5;"5"
0;-0,992;0,874;5;"5"
1;0,103;-0,104;5;"5"
1;-0,5;0,379;5;"5"
1;-0,371;-1,921;5;"5"
0;0,212;-0,622;5;"5"
0;0,201;-1,197;5;"5"
1;-0,124;0,559;5;"5"
1;0,607;-0,07;5;"5"
0;-0,055;-1,245;5;"5"
1;-0,509;1,005;5;"5"
1;-0,634;0,232;5;"5"
1;1,232;0,835;5;"5"
1;-0,437;-1,611;5;"5"
1;0,255;1,158;5;"5"
1;0,18;1,777;5;"5"
1;1,154;-0,785;5;"5"
1;0,829;0,609;5;"5"
1;-0,874;1,989;5;"5"
1;-0,093;-0,53;5;"5"
1;0,061;0,748;5;"5"
0;0,322;-1,166;5;"5"
0;-0,898;-0,749;5;"5"
1;0,889;-1,371;5;"5"
0;-0,972;-1,794;5;"5"
0;0,059;-0,814;5;"5"
1;0,339;-0,255;5;"5"
0;-0,648;-0,858;5;"5"
1;-0,374;-0,438;5;"5"
1;1,137;1,526;5;"5"
0;-0,337;-0,72;5;"5"
1;-0,279;1,785;5;"5"
1;-0,168;1,435;5;"5"
1;0,379;0,561;5;"5"
1;-0,376;0,342;5;"5"
1;1,275;-1,008;5;"5"
0;-2,972;0,152;6;"6"
1;-1,028;-0,071;6;"6"
1;0,026;-1,818;6;"6"
1;-1,367;-0,331;6;"6"
1;1,814;-1,119;6;"6"
1;0,272;-0,147;6;"6"
1;-0,636;-0,537;6;"6"
1;0,15;-1,628;6;"6"
1;0,74;0,63;6;"6"
1;-0,422;-1,287;6;"6"
0;-1,296;0,504;6;"6"
1;0,208;-0,808;6;"6"
0;0,706;1,836;6;"6"
1;1,104;-0,082;6;"6"
1;-0,325;-0,084;6;"6"
1;1,277;-0,935;6;"6"
0;0,374;1,86;6;"6"
1;-0,774;-0,211;6;"6"
0;-0,422;1,962;6;"6"
0;0,633;1,097;6;"6"
1;2,072;0,402;6;"6"
1;-0,327;0,218;6;"6"
1;0,581;1,949;6;"6"
1;0,366;-1,502;6;"6"
1;0,603;-0,842;6;"6"
1;-0,945;-2,055;6;"6"
0;0,304;3,648;6;"6"
1;-0,083;-1,21;6;"6"
1;-0,263;0,715;6;"6"
1;-1,005;-0,966;6;"6"
1;0,079;-0,343;6;"6"
1;0,683;-1,067;6;"6"
1;-1,103;0,295;6;"6"
1;-0,856;-0,422;6;"6"
1;-0,931;0,111;6;"6"
0;-0,409;0,27;6;"6"
1;2,165;-0,681;6;"6"
1;-0,968;1,433;6;"6"
1;-1,083;-0,86;6;"6"
0;1,183;0,65;6;"6"
1;1,374;1,213;6;"6"
1;0,813;0,666;6;"6"
1;0,45;1,566;6;"6"
1;-1,57;-0,501;6;"6"
1;0,944;-0,78;6;"6"
1;-0,289;0,126;6;"6"
1;-1,256;-0,671;6;"6"
0;-0,331;0,783;6;"6"
1;-0,65;-0,406;6;"6"
1;0,932;0,541;6;"6"
0;-0,111;1,821;6;"6"
1;1,025;0,396;6;"6"
1;0,569;-1,286;6;"6"
1;1,052;0,198;6;"6"
1;-0,089;-0,172;6;"6"
1;-0,579;-0,758;6;"6"
1;-0,076;-1,131;6;"6"
1;0,733;-1,011;6;"6"
1;0,207;-0,358;6;"6"
1;1,736;-0,6;6;"6"
1;-1,508;-0,038;6;"6"
1;0,886;-0,349;6;"6"
1;0,102;-0,625;6;"6"
0;-0,201;0,307;6;"6"
1;1,291;-0,065;6;"6"
1;-0,084;0,645;6;"6"
1;-0,592;-3,909;6;"6"
0;0,198;1,503;6;"6"
1;-0,188;-1,074;6;"6"
1;1,061;0,865;6;"6"
1;-1,5;-0,168;6;"6"
0;-4,168;0,574;6;"6"
1;-2,11;-3,818;7;"7"
1;0,192;1,435;7;"7"
1;0,547;-0,211;7;"7"
1;0,942;-0,893;7;"7"
1;1,038;0,212;7;"7"
1;-0,179;-0,856;7;"7"
1;1,653;0,766;7;"7"
0;0,845;0,519;7;"7"
1;0,296;0,024;7;"7"
1;0,666;-0,192;7;"7"
1;-0,733;-0,046;7;"7"
0;0,923;-0,018;7;"7"
1;-0,113;-0,677;7;"7"
0;-1,777;-1,05;7;"7"
0;-0,839;-0,102;7;"7"
0;1,499;2,192;7;"7"
1;-1,199;-0,767;7;"7"
1;-0,592;0,65;7;"7"
1;1,279;-0,543;7;"7"
0;0,571;1,42;7;"7"
1;1,168;1,364;7;"7"
1;0,226;-1,877;7;"7"
1;-0,696;0,602;7;"7"
1;-0,384;-0,763;7;"7"
0;0,273;1,135;7;"7"
1;-0,007;0,629;7;"7"
1;1,926;0,1;7;"7"
1;1,562;0,052;7;"7"
0;-0,517;-0,67;7;"7"
0;-0,384;1,553;7;"7"
1;0,474;-1,365;7;"7"
1;-0,709;0,4;7;"7"
1;0,225;1,218;7;"7"
0;-0,133;0,12;7;"7"
0;0,255;0,455;7;"7"
1;-0,501;-0,761;7;"7"
1;-1,28;-1,029;7;"7"
1;-0,474;-0,514;7;"7"
1;1,436;-0,03;7;"7"
0;0,941;1,446;7;"7"
1;-0,001;-0,34;7;"7"
0;0,114;0,713;7;"7"
0;-0,641;1,178;7;"7"
1;1,459;0,194;7;"7"
0;-0,854;-0,215;7;"7"
1;0,019;0,074;7;"7"
0;-0,544;0,712;7;"7"
1;1,662;0,252;7;"7"
1;0,23;0,529;7;"7"
0;0,984;0,474;7;"7"
1;-0,485;-0,36;7;"7"
1;0,367;-1,042;7;"7"
1;0,151;0,513;7;"7"
1;-1,332;-0,055;7;"7"
1;-0,012;-0,534;7;"7"
1;-0,04;-0,621;7;"7"
1;0,123;-0,626;7;"7"
1;-0,674;-0,34;7;"7"
1;-1,426;0,485;7;"7"
1;-0,463;-1,589;7;"7"
1;0,111;-1,432;7;"7"
1;-0,919;-0,352;7;"7"
0;-0,714;2,055;7;"7"
1;-0,787;-0,242;7;"7"
1;-1,101;-0,437;7;"7"
0;-0,068;0,805;7;"7"
0;-0,257;-0,586;7;"7"
1;0,625;1,446;7;"7"
0;-0,782;0,93;7;"7"
1;0,864;-0,897;7;"7"
0;-0,895;1,253;7;"7"
1;0,184;-0,404;7;"7"
0;-0,26;0,51;7;"7"
0;0,29;0,748;7;"7"
1;0,109;0,636;7;"7"
0;-1,409;-0,429;7;"7"
1;-0,479;-1,171;7;"7"
1;-1,508;-1,031;7;"7"
1;0,182;-1,351;7;"7"
1;2,081;-0,715;7;"7"
0;-0,002;1,747;7;"7"
1;-1,427;0,513;7;"7"
0;-0,305;-0,326;8;"8"
1;-0,537;-0,292;8;"8"
0;0,555;-1,317;8;"8"
0;-0,578;-1,998;8;"8"
1;1,478;-0,711;8;"8"
1;-0,041;-0,133;8;"8"
1;1,299;2,13;8;"8"
0;1,16;-0,908;8;"8"
0;0,026;-0,156;8;"8"
1;0,121;1,787;8;"8"
1;1,368;0,79;8;"8"
1;-0,903;0,739;8;"8"
1;0,05;0,418;8;"8"
1;0,254;0,291;8;"8"
1;1,306;0,495;8;"8"
1;-0,139;0,045;8;"8"
1;0,588;0,643;8;"8"
1;-1,046;-0,57;8;"8"
1;-2,442;0,334;8;"8"
0;-0,155;-0,47;8;"8"
1;-1,025;-0,193;8;"8"
1;-0,332;0,2;8;"8"
1;0,435;1,271;8;"8"
1;-0,968;0,907;8;"8"
1;0,033;1,188;8;"8"
0;-0,439;-1,692;8;"8"
1;0,202;-0,326;8;"8"
0;0,198;-0,521;8;"8"
1;-1,002;1,457;8;"8"
0;0,023;-1,29;8;"8"
1;-0,897;0,319;8;"8"
0;0,342;-1,418;8;"8"
1;-0,633;0,74;8;"8"
1;-0,068;-0,74;8;"8"
1;-0,066;-0,622;8;"8"
1;-1,585;1,425;8;"8"
1;-1,546;0,851;8;"8"
0;1,439;-0,79;8;"8"
0;0,157;-1,08;8;"8"
0;0,31;-0,683;8;"8"
0;1,059;-0,886;8;"8"
1;-0,677;0,028;8;"8"
1;-0,342;0,674;8;"8"
1;-1,915;-0,585;8;"8"
1;1,3;-0,118;8;"8"
0;-0,181;-0,526;8;"8"
1;0,342;0,771;8;"8"
1;-0,102;-0,745;8;"8"
1;2,567;1,542;8;"8"
0;0,068;-1,323;8;"8"
0;-0,006;-1,805;8;"8"
1;0,245;0,224;8;"8"
1;-0,316;-0,994;8;"8"
1;-0,626;0,092;8;"8"
1;0,949;1,22;8;"8"
1;1,316;-0,214;8;"8"
1;-1,561;0,879;8;"8"
0;0,511;-0,163;8;"8"
1;0,239;-0,177;8;"8"
1;-0,385;1,025;8;"8"
0;-1,433;-1,643;8;"8"
0;-1,463;1,009;8;"8"
1;-0,519;0,793;8;"8"
1;1,378;-0,771;8;"8"
0;-1,547;-1,37;8;"8"
1;-1,816;-0,153;8;"8"
1;-0,844;-0,47;8;"8"
0;1,316;-2,1;8;"8"
1;-1,364;-0,127;8;"8"
1;0,134;0,889;8;"8"
1;-2,091;1,052;8;"8"
1;-0,093;-0,912;8;"8"
0;-0,719;-1,176;8;"8"
1;0,244;0,192;8;"8"
0;-0,029;-0,803;8;"8"
0;0,863;-1,173;8;"8"
1;0,122;0,265;8;"8"
1;1,028;0,115;8;"8"
1;0,307;1,593;8;"8"
1;1,057;-0,248;8;"8"
1;-0,506;0,288;8;"8"
0;1,473;-0,788;8;"8"
0;0,053;-0,345;8;"8"
1;0,138;0,045;8;"8"
1;-0,183;0,582;8;"8"
1;0,764;0,634;8;"8"
1;-1,418;0,425;8;"8"
1;-0,466;0,13;8;"8"
1;-2,226;0,121;8;"8"
1;-1,64;0,248;9;"9"
1;0,564;0,553;9;"9"
1;1,063;-1,511;9;"9"
1;-0,455;-0,586;9;"9"
1;-1,539;-0,446;9;"9"
1;1,001;0,519;9;"9"
1;1,865;0,801;9;"9"
1;-0,573;-0,113;9;"9"
1;-1,034;-0,057;9;"9"
1;1,159;-1,374;9;"9"
1;0,189;-2,612;9;"9"
0;0,746;-0,118;9;"9"
1;-0,261;-0,351;9;"9"
1;1,603;-1,285;9;"9"
1;-0,607;2,301;9;"9"
1;-1,258;-1,24;9;"9"
1;0,408;-0,695;9;"9"
1;-0,397;-0,083;9;"9"
1;-0,163;0,139;9;"9"
1;-1,617;0,11;9;"9"
1;-0,507;0,958;9;"9"
0;0,753;-0,311;9;"9"
1;-0,9;0,266;9;"9"
1;0,734;-0,172;9;"9"
1;1,883;-0,695;9;"9"
1;1,004;0,28;9;"9"
1;0,82;1,071;9;"9"
1;0,834;-0,62;9;"9"
0;-2,313;-0,064;9;"9"
0;-1,242;-0,371;9;"9"
0;-2,478;0,875;9;"9"
1;-0,616;1,499;9;"9"
0;-0,369;1,135;9;"9"
1;-0,427;-1,602;9;"9"
1;0,516;-0,157;9;"9"
1;-1,058;-0,005;9;"9"
1;-0,444;-0,099;9;"9"
0;-0,112;1,331;9;"9"
1;1,269;-0,182;9;"9"
1;0,355;-0,267;9;"9"
1;0,117;0,505;9;"9"
1;-0,695;1,359;9;"9"
1;0,769;-0,192;9;"9"
1;0,125;-1,202;9;"9"
1;0,458;0,17;9;"9"
1;-0,258;-0,893;9;"9"
1;-0,137;0,779;9;"9"
1;-0,489;-0,738;9;"9"
1;0,922;0,043;9;"9"
1;-1,247;-0,254;9;"9"
1;1,644;-0,894;9;"9"
0;-0,698;-0,81;9;"9"
1;-0,021;-0,011;9;"9"
1;-0,458;-1,676;9;"9"
1;-1,56;0,548;9;"9"
1;-0,129;0,721;9;"9"
1;0,494;-0,157;9;"9"
1;-1,58;-0,759;9;"9"
0;-1,568;0,295;9;"9"
1;0,598;-0,211;9;"9"
1;0,069;0,462;9;"9"
1;1,371;0,215;9;"9"
1;-0,342;-0,914;9;"9"
1;1,233;-0,924;9;"9"
1;-1,433;-0,701;9;"9"
1;0,748;-0,078;9;"9"
0;0,525;0,033;9;"9"
1;1,383;0,7;9;"9"
1;1,436;1,907;9;"9"
1;-0,262;0,858;9;"9"
1;-0,839;0,425;9;"9"
1;0,168;0,867;9;"9"
1;-2,509;0,616;9;"9"
1;0,715;-0,334;9;"9"
1;1,871;-0,111;9;"9"
1;1,068;0,148;9;"9"
1;-0,281;0,424;9;"9"
1;-1,073;-0,318;9;"9"
1;0,016;0,1;9;"9"
1;-0,273;0,641;9;"9"
1;1,633;1,129;9;"9"
1;-0,1;0,746;9;"9"
1;-0,25;0,864;9;"9"
1;0,375;2,099;9;"9"
1;-0,516;0,375;9;"9"
1;0,011;0,694;9;"9"
1;0,105;-0,686;9;"9"
1;-1,559;-0,648;9;"9"
1;1,281;0,133;9;"9"
1;-0,146;0,056;9;"9"
1;-1,724;0,06;9;"9"
1;-1,401;-0,218;9;"9"
1;0,939;0,96;9;"9"
1;1,096;-0,889;9;"9"
1;-0,148;-0,476;9;"9"
1;-0,001;0,082;9;"9"
0;-0,758;1,139;9;"9"
1;-0,999;-0,321;9;"9"
1;-0,094;-1,07;9;"9"
0;-0,96;1,188;9;"9"
1;1,793;0,439;10;"10"
0;-0,225;0,113;10;"10"
0;1,294;-0,825;10;"10"
1;0,212;1,796;10;"10"
0;-0,554;-1,368;10;"10"
0;0,669;0,759;10;"10"
1;0,382;0,958;10;"10"
0;-1,451;0,852;10;"10"
0;-1,545;-1,133;10;"10"
0;0,986;0,543;10;"10"
0;0,704;-0,486;10;"10"
1;1,694;0,323;10;"10"
0;0,988;-0,324;10;"10"
0;-0,43;0,55;10;"10"
0;0,401;-0,199;10;"10"
1;0,502;-0,131;10;"10"
0;1,022;0,44;10;"10"
0;-1,379;0,575;10;"10"
0;-1,394;0,452;10;"10"
0;-1,637;-0,556;10;"10"
0;-0,656;-0,253;10;"10"
0;-2,007;1,796;10;"10"
0;-0,448;-0,494;10;"10"
0;-1,682;1,607;10;"10"
0;0,242;-0,862;10;"10"
0;0,458;-0,898;10;"10"
1;0,227;0,295;10;"10"
0;1,037;1,407;10;"10"
0;-1,577;-1,123;10;"10"
0;1,349;-0,84;10;"10"
0;-0,434;-1,032;10;"10"
0;-0,587;1,893;10;"10"
0;0,726;0,64;10;"10"
1;-0,932;0,726;10;"10"
0;1,18;-0,392;10;"10"
0;-1,798;-1,294;10;"10"
0;-0,321;-0,548;10;"10"
0;-0,113;0,762;10;"10"
1;0,034;1,121;10;"10"
0;-0,958;0,97;10;"10"
1;0,297;-0,445;10;"10"
1;-1,101;-0,405;10;"10"
0;0,299;0,578;10;"10"
0;0,017;1,2;10;"10"
0;0,344;-1,904;10;"10"
0;0,6;-0,05;10;"10"
0;0,356;-2,315;10;"10"
0;-0,945;-0,372;10;"10"
0;-2,093;0,066;10;"10"
0;-0,546;-1,017;10;"10"
0;-1,838;-0,468;10;"10"
0;0,71;-0,12;10;"10"
0;0,813;-0,99;10;"10"
0;-0,491;-1,42;10;"10"
0;-0,314;-0,93;10;"10"
0;-0,857;-0,069;10;"10"
0;-0,434;0,069;10;"10"
1;-0,488;1,828;10;"10"
0;-0,841;-0,516;10;"10"
1;0,856;0,611;11;"11"
0;0,303;0,427;11;"11"
1;1,052;-0,398;11;"11"
1;0,251;-0,642;11;"11"
0;-0,471;0,495;11;"11"
1;-1,156;-0,81;11;"11"
0;-1,166;3,586;11;"11"
1;0,479;0,87;11;"11"
1;-1,068;0,458;11;"11"
1;1,716;-0,201;11;"11"
1;1,476;-1,582;11;"11"
1;-0,157;-0,97;11;"11"
1;1,376;0,624;11;"11"
0;-1,821;-1,077;11;"11"
1;1,418;-0,206;11;"11"
0;-1,045;0,231;11;"11"
1;0,188;-1,889;11;"11"
1;-0,924;-0,284;11;"11"
0;-0,84;-0,616;11;"11"
0;-0,819;0,676;11;"11"
1;0,654;-0,465;11;"11"
1;-0,333;-0,085;11;"11"
0;-0,041;0,475;11;"11"
1;1,345;0,982;11;"11"
0;-0,536;-0,473;11;"11"
0;-1,764;0,12;11;"11"
1;0,886;0,131;11;"11"
0;0,899;0,689;11;"11"
0;-1,562;-0,749;11;"11"
1;-0,841;0,473;11;"11"
1;0,108;0,832;11;"11"
0;-0,339;2,504;11;"11"
0;-1,629;0,382;11;"11"
1;1,629;2,634;11;"11"
0;-0,635;-0,979;11;"11"
1;1,34;1,864;11;"11"
0;-1,03;1,466;11;"11"
0;0,111;-1,444;11;"11"
0;-2,169;0,7;11;"11"
1;0,807;-0,229;11;"11"
1;-0,076;-1,315;11;"11"
1;-0,13;0,202;11;"11"
0;-0,357;0,188;11;"11"
0;-1,071;0,298;11;"11"
1;2,42;-0,091;11;"11"
1;1,592;0,081;11;"11"
1;-0,83;-1,106;11;"11"
0;-0,245;0,482;11;"11"
1;2,256;1,263;11;"11"
1;-1,053;-0,881;11;"11"
1;-1,129;1,353;11;"11"
0;0,667;1,108;11;"11"
1;0,829;-0,537;11;"11"
0;-0,534;0,044;11;"11"
